Fecha,Promedio Radiación Solar (kWh/m²),Promedio Temperatura (°C)
20231115,5.75,18.65
20231116,5.75,18.38
20231117,5.61,19.29
20231118,5.67,19.98
20231119,5.33,20.12
20231120,5.26,19.97
20231121,4.15,19.77
20231122,2.1,15.58
20231123,2.82,14.8
20231124,5.72,16.63
20231125,5.67,16.58
20231126,5.16,17.37
20231127,2.98,16.37
20231128,4.3,17.8
20231129,3.17,16.39
20231130,3.17,16.54
20231201,3.21,15.19
20231202,3.46,17.27
20231203,2.86,16.85
20231204,2.41,15.83
20231205,2.82,16.24
20231206,3.27,15.3
20231207,1.89,14.91
20231208,4.45,16.58
20231209,4.72,16.11
20231210,3.47,15.94
20231211,1.67,13.14
20231212,4.61,15.21
20231213,3.3,15.27
20231214,3.11,16.15
20231215,3.95,17.07
20231216,4.83,16.64
20231217,5.15,15.93
20231218,5.32,15.14
20231219,5.24,14.84
20231220,5.16,16.64
20231221,4.63,16.67
20231222,4.41,15.55
20231223,3.85,15.49
20231224,4.12,16.11
20231225,3.43,15.04
20231226,1.52,13.52
20231227,4.3,13.74
20231228,5.5,13.35
20231229,5.42,13.94
20231230,5.05,12.84
20231231,5.32,14.21
20240101,5.33,14.44
20240102,4.72,14.84
20240103,5.57,15.48
20240104,4.87,14.31
20240105,4.8,14.04
20240106,5.29,14.57
20240107,1.75,14.47
20240108,4.01,15.58
20240109,4.13,14.81
20240110,5.1,14.69
20240111,5.34,15.52
20240112,5.26,16.9
20240113,5.04,16.96
20240114,4.04,16.65
20240115,5.72,17.25
20240116,5.63,17.56